message_id,raw_text,clean_text,channel,language,sender_id,receiver_id,sender_role,timestamp,attack_label,manipulation_tactic,intent_stage,source_dataset,confidence_label
614154df-b0ed-4c1f-8632-4094fcd74aba,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
7647ac36-d810-4ac8-98da-79d7c023298a,Ok lar... Joking wif u oni...,Ok lar... Joking wif u oni...,sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
dfaceac3-bbd0-431b-bd81-47fed20469c3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,sms,en,unknown,unknown,unknown,,smishing,reward,exploit,uci_sms,high
c7904ee0-63f6-4092-a228-ade416bf3eb1,U dun say so early hor... U c already then say...,U dun say so early hor... U c already then say...,sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
d332a1a5-d55b-4471-9c8b-496ef83017fd,"Nah I don't think he goes to usf, he lives around here though","Nah I don't think he goes to usf, he lives around here though",sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
9653d196-be43-4bcb-86ee-9a1fd57bd85c,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",sms,en,unknown,unknown,unknown,,smishing,urgency,exploit,uci_sms,high
b57e8f78-6555-4616-a780-a22042e43545,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me. They treat me like aids patent.,sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
e7fa76fe-a59a-45f8-8b12-866fe9a862f5,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,sms,en,unknown,unknown,unknown,,benign,none,benign,uci_sms,high
9ba3afa2-ae06-4ccc-a6cd-8f2c10843277,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,sms,en,unknown,unknown,unknown,,smishing,urgency,exploit,uci_sms,high
fa00bd67-0f42-49a6-8457-18f95f691965,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,sms,en,unknown,unknown,unknown,,smishing,reward,exploit,uci_sms,high
